fold,seed,closure,feature_set,auprc,auroc,normalized_ap,balanced_accuracy,f1,precision,recall,n_tissues
fold_c,42,strict,coordinate_plus_frozen_pangenomefm,0.4049838340702447,0.5183522958636196,0.016014327709865002,0.49995026619388644,0.564837953084241,0.39511689412358963,0.9949511170972845,5
fold_c,42,strict,coordinate_plus_frozen_sequence_fm,0.522447112069601,0.6481471790881472,0.20935118066758393,0.596794337709726,0.5881438163654421,0.46518812525271824,0.8018807848747237,5
fold_c,42,strict,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.5234422456232833,0.6488595812781935,0.21115268060345108,0.5958339950517222,0.5884829175516264,0.4657139113693221,0.8032409092757404,5
fold_c,42,strict,frozen_pangenomefm,0.4036984376500509,0.516575875850261,0.01388968965251918,0.4999995391830082,0.5648757211106364,0.39513884716910636,0.9948938108716486,5
fold_c,42,strict,frozen_sequence_fm,0.5230170871689291,0.6465755608156939,0.21027251331107646,0.5951904874120308,0.5857378239923594,0.4658371789673576,0.7922047188292739,5
fold_c,42,strict,sequence_kmer,0.49042765751623146,0.6134694716409792,0.1565726972611446,0.5569238336006046,0.5746512921780962,0.4333619123254933,0.8577076393611053,5
fold_c,314159,1hop,coordinate,0.40461673705474316,0.512878523027962,0.015870063993725942,0.5001097746436939,0.565684596016806,0.39518995136224333,0.9997345684329104,5
fold_c,314159,1hop,coordinate_plus_frozen_pangenomefm,0.39810617846514695,0.5071971519451071,0.00418732224707326,0.5034169245128313,0.5645682039502319,0.3967875878893766,0.9816715090335928,5
fold_c,314159,1hop,coordinate_plus_frozen_sequence_fm,0.522447112069601,0.6481471790881472,0.20935118066758393,0.596794337709726,0.5881438163654421,0.46518812525271824,0.8018807848747237,5
fold_c,314159,1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.5215565033591585,0.6474782484002588,0.207731020616094,0.5960410704910053,0.5891735517161061,0.4658812525759908,0.805542156429895,5
fold_c,314159,1hop,frozen_pangenomefm,0.39665629317415857,0.5042047008305478,0.00176869275574214,0.5032002343263815,0.5643303457157621,0.3966929497857211,0.9806685014180777,5
fold_c,314159,1hop,frozen_sequence_fm,0.5230170871689291,0.6465755608156939,0.21027251331107646,0.5951904874120308,0.5857378239923594,0.4658371789673576,0.7922047188292739,5
fold_c,314159,1hop,sequence_kmer,0.49042765751623146,0.6134694716409792,0.1565726972611446,0.5569238336006046,0.5746512921780962,0.4333619123254933,0.8577076393611053,5
fold_c,314159,strict,coordinate,0.40461673705474316,0.512878523027962,0.015870063993725942,0.5001097746436939,0.565684596016806,0.39518995136224333,0.9997345684329104,5
fold_c,314159,strict,coordinate_plus_frozen_pangenomefm,0.41151883861715965,0.5217805720588725,0.027143025609205278,0.5002012155652563,0.5635644082299078,0.39521965347960647,0.9852249741120367,5
fold_c,314159,strict,coordinate_plus_frozen_sequence_fm,0.522447112069601,0.6481471790881472,0.20935118066758393,0.596794337709726,0.5881438163654421,0.46518812525271824,0.8018807848747237,5
fold_c,314159,strict,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.5233821479715897,0.647644809731279,0.21096952735595265,0.5935792682664942,0.5866624691815518,0.46145129448229605,0.8065152934427433,5
