fold,seed,context,feature_set,sample,canonical_sample,in_hprc,unit,n,positive_fraction,threshold,auroc,auprc,accuracy,precision,recall,f1,nll,brier,ece
fold_e,42,1hop,coordinate_plus_frozen_sequence_fm,NA19434,NA19434,False,donor,4458,0.6123822341857336,0.2332431453983942,0.8610025776692444,0.9025637136903819,0.7388963660834454,0.7182274247491639,0.9439560439560439,0.8157644824311491,0.4788366887334041,0.15667491218616955,0.09439940696017149
fold_e,42,1hop,coordinate_plus_frozen_sequence_fm,NA19434,NA19434,False,haplotype_1,2746,0.6136198106336489,0.2332431453983942,0.8744723218955299,0.9092806232344061,0.7541879096868171,0.7301731996353692,0.9507418397626113,0.8259860788863109,0.46109454839021724,0.14877471376940657,0.09118908236335854
fold_e,42,1hop,coordinate_plus_frozen_sequence_fm,NA19434,NA19434,False,haplotype_2,2850,0.616140350877193,0.2332431453983942,0.8696568672360734,0.9119365870977931,0.7491228070175439,0.7287912087912088,0.9441913439635535,0.8226246588935748,0.47102514964516784,0.15371082364561883,0.10199745748401746
fold_e,42,1hop,coordinate_plus_frozen_sequence_fm,NA19650,NA19650,False,donor,4153,0.617625812665543,0.2332431453983942,0.8706653458443198,0.9125689734890212,0.7445220322658319,0.720398593200469,0.9582846003898635,0.8224861970888405,0.4654180819588629,0.15097997901882504,0.09119134411819918
fold_e,42,1hop,coordinate_plus_frozen_sequence_fm,NA19650,NA19650,False,haplotype_1,2685,0.6264432029795158,0.2332431453983942,0.8811214987617408,0.9210462825433599,0.758659217877095,0.734573502722323,0.9625445897740785,0.8332475553268142,0.45143360103612473,0.14499088037494817,0.09408206065562078
fold_e,42,1hop,coordinate_plus_frozen_sequence_fm,NA19650,NA19650,False,haplotype_2,2758,0.6124002900652646,0.2332431453983942,0.8801638954750958,0.9179088384104079,0.7498187092095722,0.7240915208613729,0.955595026642984,0.8238897396630934,0.45592464358871576,0.14683448707511199,0.09058446262953884
fold_e,42,1hop,coordinate_plus_frozen_sequence_fm,NA19705,NA19705,False,donor,4755,0.610304942166141,0.2332431453983942,0.8648407801084761,0.9075295432191081,0.7383806519453208,0.7158854166666667,0.9472777394900069,0.8154850192821121,0.4746785592527784,0.15456092808723265,0.08964723789769084
fold_e,42,1hop,coordinate_plus_frozen_sequence_fm,NA19705,NA19705,False,haplotype_1,2991,0.6155132062855232,0.2332431453983942,0.8756247785938642,0.9130058063817209,0.7535941156803745,0.7290456431535269,0.9543726235741445,0.8266290284638909,0.46064926118865007,0.1484587184974,0.0899609833524246
fold_e,42,1hop,coordinate_plus_frozen_sequence_fm,NA19705,NA19705,False,haplotype_2,2985,0.6144053601340034,0.2332431453983942,0.8714348719571526,0.9126757141277073,0.7484087102177555,0.726474278544542,0.9471101417666303,0.8222485207100592,0.46676386523990493,0.151195515420396,0.09363883509214958
fold_e,42,1hop,coordinate_plus_frozen_sequence_fm,NA19836,NA19836,False,donor,4697,0.6125186289120715,0.2332431453983942,0.8610073451053639,0.9026970616454123,0.7374920161805407,0.7160883280757098,0.9468196037539103,0.815446789402784,0.47707770819606843,0.15574787475027452,0.09051482448878281
