sample,unit,context,in_hprc,mean_n,mean_prevalence,metric,feature_set,mean,std,ci95_low,ci95_high,n_runs,n_folds,undefined_runs
HG00512,donor,strict,False,5128.0,0.6208574136477629,auroc,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.904152012076665,0.014300734765718068,0.8910248659914618,0.9150173192351135,15,5,0
HG00512,haplotype_1,1hop,False,3392.8,0.6193600303352615,auprc,coordinate_plus_frozen_sequence_fm,0.9043067766519963,0.02033578933686701,0.8848707757526107,0.9192680242303414,15,5,0
HG00512,haplotype_1,1hop,False,3392.8,0.6193600303352615,auprc,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.9480229943763718,0.014224103865611789,0.9349914366389298,0.9573526344113792,15,5,0
HG00512,haplotype_1,1hop,False,3392.8,0.6193600303352615,auroc,coordinate_plus_frozen_sequence_fm,0.8610006349514424,0.018475133248075908,0.84351304718278,0.8741329071860474,15,5,0
HG00512,haplotype_1,1hop,False,3392.8,0.6193600303352615,auroc,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.9215093129246533,0.013706059714715365,0.908990058739499,0.9307904948961594,15,5,0
HG00512,haplotype_1,strict,False,3392.8,0.6193600303352615,auprc,coordinate_plus_frozen_sequence_fm,0.9043067766519963,0.02033578933686701,0.8848707757526107,0.9192680242303414,15,5,0
HG00512,haplotype_1,strict,False,3392.8,0.6193600303352615,auprc,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.9415488111335608,0.01451533809759214,0.9279767075310299,0.9520674908024019,15,5,0
HG00512,haplotype_1,strict,False,3392.8,0.6193600303352615,auroc,coordinate_plus_frozen_sequence_fm,0.8610006349514424,0.018475133248075908,0.84351304718278,0.8741329071860474,15,5,0
HG00512,haplotype_1,strict,False,3392.8,0.6193600303352615,auroc,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.9105046673908163,0.016229378009524714,0.8953577838746277,0.9217930383513004,15,5,0
HG00512,haplotype_2,1hop,False,3484.6,0.6211965771936235,auprc,coordinate_plus_frozen_sequence_fm,0.9084655912757242,0.016762609350205245,0.8937861358915842,0.9216781468365745,15,5,0
HG00512,haplotype_2,1hop,False,3484.6,0.6211965771936235,auprc,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.9512912311164218,0.010637557842494549,0.9420759705684105,0.9588316069705527,15,5,0
HG00512,haplotype_2,1hop,False,3484.6,0.6211965771936235,auroc,coordinate_plus_frozen_sequence_fm,0.8657345991688921,0.013212142636890058,0.854321915449595,0.8765334428718528,15,5,0
HG00512,haplotype_2,1hop,False,3484.6,0.6211965771936235,auroc,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.9267597629533255,0.009055268084436581,0.9192936441348828,0.9338481065635968,15,5,0
HG00512,haplotype_2,strict,False,3484.6,0.6211965771936235,auprc,coordinate_plus_frozen_sequence_fm,0.9084655912757242,0.016762609350205245,0.8937861358915842,0.9216781468365745,15,5,0
HG00512,haplotype_2,strict,False,3484.6,0.6211965771936235,auprc,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.9448780592870275,0.01072063743988851,0.9354510539384575,0.9532553480841991,15,5,0
HG00512,haplotype_2,strict,False,3484.6,0.6211965771936235,auroc,coordinate_plus_frozen_sequence_fm,0.8657345991688921,0.013212142636890058,0.854321915449595,0.8765334428718528,15,5,0
